"vo_avg s valence electrons","vo_avg p valence electrons","vo_avg d valence electrons","vo_avg f valence electrons","PymatgenData mean Z","PymatgenData mean ionization_energy","PymatgenData mean electron_affinity","band center","PymatgenData mean atomic_radius","PymatgenData mean max_oxidation_state","PymatgenData mean X","PymatgenData mean mendeleev_no","PymatgenData mean row","PymatgenData mean group","PymatgenData mean atomic_mass","min_diff_X_all_atoms","target_H_min_sp_e"
0.6,0,10,0,35.8,7.9705636,0.96632688,4.46504617761192,1.37,4,2.02,70.8,4.4,10.6,80.6956,0.3,-0.384085970000001
0.666666666666667,0.111111111111111,10,6.22222222222222,61,8.44843641111111,1.30911175555556,4.78575800534921,1.39444444444444,4.33333333333333,2.30444444444444,70.5555555555555,5.44444444444444,10.7777777777778,147.596030666667,0.34,-0.383955679999986
0.222,0,10,0,44.224,8.454205738,0.4309235268,4.47414868974163,1.39445,3.778,2.13895,69.777,4.889,10.222,101.867779,0.55,-0.383276310000014
0.444,0.111,10,4.662,57.211,8.2867644913,0.92298555999,4.5349927803048,1.4444,4.111,2.2111,70.221,5.333,10.555,137.395264618,0.34,-0.380986449999995
0.5,0,10,1.162,49.156,8.09343006,1.01665049175,4.54073310344289,1.47925,3.666,2.11563,69.917,5.083,10.5,114.539264627,0.27,-0.379563740000009
0.572,0,10,0,41.424,8.639243388,0.2240488168,4.51723060657516,1.3857,3.428,2.0427,71.002,4.714,10.572,94.690854,0.55,-0.377869940000039
1,0,8.5,7,61.5,8.6519295,1.06309916,4.87451030854992,1.375,5,2.2,67.5,5.5,9.5,149.3185,0,-0.372972230000016
0.455,0,10,1.274,49.367,8.537282607,0.48772018515,4.56283378704356,1.42275,3.727,2.13812,70.183,5.091,10.455,115.750099779,0.34,-0.372571140000048
0.429,0,10,0,46.429,8.010539455,0.8806015422,4.44369910113817,1.4858,3.571,2.08417,69.858,5,10.429,107.0412778,0.27,-0.364358669999973
0.25,0.125,10,1.75,50.375,8.0582700375,0.53188019875,4.26010072175179,1.4625,3.875,2.1275,70.125,5.125,10.375,118.6654125,0.58,-0.364231820000043
0.583,0,10,0,46.583,8.074196138,0.765275841,4.4479402672717,1.49585,3.417,2.04508,70.332,5,10.583,107.5211524,0.24,-0.36414025000002
1.5,0,8,7,52.5,8.41992,1.393680235,4.87851325723551,1.35,5.5,2.08,66,5,9.5,127.0085975,0.4,-0.361438900000053
0.167,0,10,0,46.167,8.209817965,0.6861106106,4.44573651236234,1.4334,3.833,2.15491,69.334,5,10.167,106.6618494,0.27,-0.358826450000038
1.333,0.333,10,14,79.666,8.1875041889,1.64642074902,4.71738688401837,1.53315,4.334,2.23364,72.664,6,11.666,199.436340423,0.92,-0.350006629999996
0.6,0.3,10,4.2,56.5,7.66827349,0.489514797,4.01151873959601,1.55,3.7,2.026,71.7,5.3,10.9,135.80899,0.58,-0.343899960000016
1,0.5,9.75,3.5,50.75,8.09149175,1.2587751,4.65398198944284,1.3875,4.5,2.085,73,5,11.25,120.94,0.0600000000000001,-0.339376930000014
0.375,0,10,0,46.375,8.323886,0.494665025,4.45231466724242,1.44375,3.625,2.1025,70,5,10.375,107.3499,0.24,-0.334190299999989
0.75,0,10,0,46.75,7.76638525,1.11889005,4.44120415630975,1.55,3.25,1.9975,70.5,5,10.75,107.50615,0.27,-0.331008959999991
0.666,0,10,0,40.672,8.688939214,0.1684881804,4.52887168156173,1.38335,3.334,2.01685,71.331,4.667,10.666,92.763337,0.55,-0.325166550000006
1.333,0,8.334,9.338,61.017,8.59991594,1.63797610651,5.10016580003087,1.35,5.667,2.1468,66.668,5.334,9.667,149.745781935,0.4,-0.324557280000022
0.666,0,10,0,46.666,8.011065923,0.8268893804,4.4472944067728,1.51245,3.334,2.02267,70.498,5,10.666,107.641353,0.24,-0.322573259999984
0.75,0,10,3.5,54.75,8.723263,0.6782231625,4.75905372496193,1.425,3.75,2.1575,70.75,5.25,10.75,130.55439225,0.34,-0.322281959999998
0.667,0,10,0,37.667,8.310134939,0.589046672,4.4979686084204,1.375,3.666,2.00825,71.168,4.5,10.667,85.294121,0.25,-0.32016385
1,0,10,0,34.994,7.676381382,1.258657437,4.46446008059169,1.43325,3.667,1.90999,71.667,4.333,11,78.3052926,0.03,-0.31993551000005
0.778,0,10,0,44.78,7.761754516,1.1320508614,4.44517171387652,1.52785,3.333,1.98661,70.667,4.889,10.778,102.6269354,0.03,-0.318871810000005
0.4,0,10,0,42.8,8.5483106,0.32571296,4.49600732876926,1.39,3.6,2.09,70.4,4.8,10.4,98.2178,0.55,-0.318733959999975
1.3,0.3,10,9.8,70,8.19379451,1.705727175,4.76088644876397,1.41,4.4,2.312,72.7,5.7,11.6,172.3219983,0.76,-0.318321110000056
0.556,0,10,0,36.548,7.997423796,0.9366865968,4.46372293110982,1.3722,4,2.0332,70.668,4.444,10.556,82.582056,0.3,-0.316180909999986
0.571,0,10,7.994,64.843,8.844295265,1.55937502755,5.15877904194356,1.37145,4.571,2.39414,69.571,5.571,10.571,158.122090899,0.34,-0.314099310000017
0.818,0.409,10,5.726,60.315,7.4253613547,0.46312720391,3.86407347904718,1.6045,3.591,1.96278,72.681,5.409,11.227,146.4869897,0.58,-0.313787899999966
0.222,0.222,10,0,46.444,8.226624769,0.623183319,4.42221246059352,1.40555,4,2.17336,70.554,5,10.444,107.78419,0.24,-0.312625239999989
0.556,0,10,0,46.556,7.91394262,0.9748776808,4.44271183706364,1.5112,3.444,2.04988,70.112,5,10.556,107.2251992,0.27,-0.312406929999995
0.375,0,10,0,39.625,8.107916875,0.81475725,4.45828369950716,1.38125,4,2.0875,70.125,4.625,10.375,90.34225,0.3,-0.309912169999993
0.875,0,10,0,46.875,8.215857375,0.519980325,4.45662518801404,1.5125,3.125,1.97125,71.25,5,10.875,108.460825,0.24,-0.309641580000005
0.555555555555556,0,10,0,40.5555555555556,7.96432933333333,0.951651422222222,4.4552999778988,1.42777777777778,3.77777777777778,2.04,70.4444444444444,4.66666666666667,10.5555555555556,92.4504888888889,0.03,-0.307192829999991
0.167,0,10,0,43.161,8.234892347,0.6746395476,4.45204127503549,1.39165,4,2.1499,69.501,4.833,10.167,99.260042,0.3,-0.305650090000029
